Utente Test,Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
Utente 1,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.01623808235753733,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0046987847653538325,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.007887657224073873,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.0002075038460368609,0.13714421078480551
Utente 2,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.03446489022109258,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0033671414510639906,0.0020496058254624015,0.015474893500693391,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0077558993946367834,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015,0.0020496058254624015
Utente 3,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.025146323010491755,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.005440886979063958,0.0011604743939670936,0.009338821577354356,0.0011604743939670936,0.0015942426995233679,0.0011604743939670936,0.0011604743939670936,0.007481388218999994,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936,0.0011604743939670936
Utente 4,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.01978964058226351,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.02321510872393543,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.004620527897583479,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.0008091891177527741,0.03310931272248887
Utente 5,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0633381813837476,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.014267714472940328,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.010529227027971553,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.0009207468913845843,0.13344069874338021
Utente 6,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.05308091573448322,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.001226720336806921,0.0005261584190683236,0.01111363156613473,0.0005261584190683236,0.00258929852197948,0.0005261584190683236,0.0005261584190683236,0.018005495002433963,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236,0.0005261584190683236
Utente 7,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.03431111939624136,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0014408141925377556,0.0011608205295546958,0.014591150175176124,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.002746959151617365,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958,0.0011608205295546958
Utente 8,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.04392848268876609,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.01028286795308785,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.0071323509797059014,0.13366114891048186
Utente 9,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.049820693567061085,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.012681291903163435,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.008947985739246697,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.00140832384131615,0.03757449633257567
Utente 10,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.0033191682131547273,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.013471180812258076,0.001994875287119249,0.0030302551142985462,0.001994875287119249,0.001994875287119249,0.006027206360072952,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249,0.001994875287119249
