Utente Test,Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
Utente 1,0,0,0,0.0,0,0,0,-0.028451877832355924,0,0,0,0,0,0.0,0,0.01249357840647228,0,-0.000358486245198811,0,0,0.00038120221390334504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12744027415066456
Utente 2,0,0,0,0.0,0,0,0,-0.011904089285674265,0,0,0,0,0,0.001220909180204452,0,0.009612813585035004,0,-0.0025936433581270385,0,0,-0.0062059151067014266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Utente 3,0,0,0,0.004979370199850744,0,0,0,-0.07339319017091768,0,0,0,0,0,0.0026084981164366935,0,-0.01670133303880621,0,-0.005101820026846455,0,0,0.0004200591372991779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Utente 4,0,0,0,-0.0009083470766693646,0,0,0,-0.006411294068000756,0,0,0,0,0,0.0,0,0.014053201579073485,0,0.0,0,0,-0.0017559352101582716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036650196748919034
Utente 5,0,0,0,0.0,0,0,0,-0.04152928168281603,0,0,0,0,0,0.0,0,0.00961733340119609,0,-0.0023780365054459096,0,0,-0.0007569783320484835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1298504950722042
Utente 6,0,0,0,0.00384322568888561,0,0,0,-0.05270526560553739,0,0,0,0,0,0.0038021536366018805,0,0.02349472696822142,0,0.004735764170033379,0,0,0.0038703664595871635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Utente 7,0,0,0,0.0,0,0,0,-0.013056324971342013,0,0,0,0,0,0.005254891913088927,0,0.011884769980505909,0,0.003609169019440594,0,0,-0.005761048101584468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Utente 8,0,0,0,0.0,0,0,0,-0.016733688143047203,0,0,0,0,0,0.0,0,0.01409084060855908,0,0.0,0,0,0.0019149463886002506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12449158053385043
Utente 9,0,0,0,0.0,0,0,0,-0.0637667128848187,0,0,0,0,0,0.0,0,0.016760049632640467,0,0.001403265916258614,0,0,0.00522742607372182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03290855775093272
Utente 10,0,0,0,0.0,0,0,0,-0.02159542361576543,0,0,0,0,0,0.0059680793432690974,0,0.01060409582659382,0,0.0030569123013357907,0,0,-0.011121958106863046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
